"lon","lat","depth"
-88.279167,49.056667,-0.232501
-88.2775,49.056667,-0.232501
-88.276667,49.056667,-0.232501
-88.270833,49.056667,-0.232501
-88.268333,49.056667,-0.232501
-88.285833,49.055833,-0.232501
-88.284167,49.055833,-0.232501
-88.281667,49.055833,-0.232501
-88.28,49.055833,-0.232501
-88.278333,49.055833,-0.232501
-88.286667,49.055,-0.232501
-88.2825,49.055,-0.232501
-88.281667,49.055,-0.232501
-88.273333,49.055,-0.232501
-88.2725,49.055,-0.232501
-88.286667,49.054167,-0.232501
-88.2825,49.054167,-0.232501
-88.281667,49.054167,-0.232501
-88.276667,49.054167,-0.232501
-88.271667,49.054167,-0.232501
-88.260833,49.054167,-0.232501
-88.286667,49.053333,-0.232501
-88.285833,49.053333,-0.232501
-88.278333,49.053333,-0.232501
-88.2725,49.053333,-0.232501
-88.263333,49.053333,-0.232501
-88.261667,49.053333,-0.232501
-88.26,49.053333,-0.232501
-88.285833,49.0525,-0.232501
-88.285,49.0525,-0.232501
-88.2825,49.0525,-0.232501
-88.2725,49.0525,-0.232501
-88.26,49.0525,-0.232501
-88.285,49.051667,-0.232501
-88.2775,49.051667,-0.232501
-88.27,49.051667,-0.232501
-88.2675,49.051667,-0.232501
-88.265833,49.051667,-0.232501
-88.259167,49.051667,-0.232501
-88.286667,49.050833,-0.232501
-88.28,49.050833,-0.232501
-88.2675,49.050833,-0.232501
-88.265833,49.050833,-0.232501
-88.26,49.050833,-0.232501
-88.259167,49.050833,-0.232501
-88.286667,49.05,-0.232501
-88.268333,49.05,-0.232501
-88.265833,49.05,-0.232501
-88.285833,49.049167,-0.232501
-88.276667,49.049167,-0.232501
-88.260833,49.049167,-0.232501
-88.2825,49.048333,-0.232501
-88.281667,49.048333,-0.232501
-88.280833,49.048333,-0.232501
-88.275833,49.048333,-0.232501
-88.270833,49.048333,-0.232501
-88.264167,49.048333,-0.232501
-88.285,49.0475,-0.232501
-88.283333,49.0475,-0.232501
-88.2825,49.0475,-0.232501
-88.281667,49.0475,-0.232501
-88.275,49.0475,-0.232501
-88.2825,49.046667,-0.232501
-88.28,49.046667,-0.232501
-88.279167,49.046667,-0.232501
-88.278333,49.046667,-0.232501
-88.268333,49.046667,-0.232501
-88.263333,49.046667,-0.232501
-88.279167,49.045833,-0.232501
-88.269167,49.045833,-0.232501
-88.263333,49.045833,-0.232501
-88.258333,49.045833,-0.232501
-88.2775,49.045,-0.232501
-88.271667,49.045,-0.232501
-88.270833,49.045,-0.232501
-88.279167,49.0425,-0.232501
-88.276667,49.0425,-0.232501
-88.261667,49.0425,-0.232501
-88.260833,49.0425,-0.232501
-88.26,49.0425,-0.232501
-88.255833,49.0425,-0.232501
-88.266667,49.041667,-0.232501
-88.265833,49.041667,-0.232501
-88.263333,49.041667,-0.232501
-88.254167,49.041667,-0.232501
-88.2775,49.040833,-0.232501
-88.275833,49.040833,-0.232501
-88.275,49.040833,-0.232501
-88.274167,49.040833,-0.232501
-88.273333,49.040833,-0.232501
-88.266667,49.040833,-0.232501
-88.274167,49.04,-0.232501
-88.273333,49.04,-0.232501
-88.269167,49.04,-0.232501
-88.2625,49.04,-0.232501
-88.253333,49.04,-0.232501
-88.269167,49.039167,-0.232501
-88.275833,49.038333,-0.232501
-88.263333,49.038333,-0.232394
-88.275,49.0375,-0.232501
-88.263333,49.0375,-0.232394
-88.255833,49.0375,-0.232501
-88.275,49.036667,-0.232501
-88.274167,49.036667,-0.232501
-88.26,49.036667,-0.232394
-88.253333,49.036667,-0.232394
-88.250833,49.036667,-0.232394
-88.27,49.035833,-0.232501
-88.269167,49.035833,-0.232394
-88.259167,49.035833,-0.232394
-88.2575,49.035833,-0.232394
-88.251667,49.035,-0.232394
-88.2725,49.034167,-0.232501
-88.271667,49.034167,-0.232501
-88.270833,49.034167,-0.232501
-88.268333,49.034167,-0.232394
-88.248333,49.034167,-0.232303
-88.2475,49.034167,-0.232196
-88.265833,49.033333,-0.232394
-88.25,49.033333,-0.232303
-88.246667,49.0325,-0.232196
-88.246667,49.031667,-0.232196
-88.246667,49.030833,-0.232196
-88.258333,49.03,-0.232394
-88.254167,49.03,-0.232394
-88.251667,49.03,-0.232394
-88.266667,49.029167,-0.232394
-88.265833,49.029167,-0.232394
-88.259167,49.029167,-0.232394
-88.2625,49.0275,-0.232394
-88.250833,49.026667,-0.232303
-88.261667,49.025833,-0.232303
-88.258333,49.025833,-0.232303
-88.260833,49.025,-0.232303
-88.258333,49.025,-0.232303
-88.250833,49.025,-0.232303
-88.254167,49.021667,-0.232196
-88.255,49.020833,-0.232196
-88.254167,49.020833,-0.232196
-88.03,49.015833,-0.226993
-88.029167,49.015833,-0.226993
-88.256667,49.015,-0.232104
-88.255833,49.015,-0.232104
-88.255,49.015,-0.232104
-88.259167,49.014167,-0.232104
-88.255,49.014167,-0.232104
-88.028333,49.014167,-0.226901
-88.255833,49.013333,-0.232104
-88.255,49.013333,-0.232104
-88.259167,49.0125,-0.232104
-88.256667,49.0125,-0.232104
-88.255833,49.0125,-0.231998
-88.255,49.0125,-0.231998
-88.254167,49.0125,-0.231998
-88.030833,49.0125,0.273007
-88.0325,49.011667,0.173001
-88.031667,49.011667,-0.126987
-88.03,49.011667,-0.126895
-88.251667,49.010833,-0.231998
-88.033333,49.010833,0.273007
-88.0325,49.010833,-0.226993
-88.028333,49.010833,0.073102
-88.2575,49.01,-0.231998
-88.033333,49.01,-0.026996
-88.034167,49.009167,0.273007
-88.033333,49.009167,-0.226993
-88.024167,49.009167,-0.226794
-88.2575,49.008333,-0.231998
-88.256667,49.008333,-0.231998
-88.034167,49.008333,0.173001
-88.2575,49.0075,-0.231998
-88.034167,49.0075,0.173001
-88.021667,49.0075,-0.226703
-88.2575,49.006667,-0.231998
-88.034167,49.006667,0.273007
